sampleID	lat	lon
2011-5	38.207012	-119.620386
2012-1	38.37624	-119.6311367
2012-2	38.29239447	-119.6381734
2013-1	38.34941364	-119.6310809
2013-2	38.36667636	-119.6599245
2013-3	38.34377	-119.65019
2013-4	38.27912727	-119.6037036
2013-5	38.29422351	-119.6390019
2013-6	38.29698	-119.63441
2013-7	38.29897	-119.63543
2014-1	38.47345353	-119.75024
2014-2	38.2985125	-119.6455863
2014-3	38.26756586	-119.6187514
2014-5	38.35391	-119.62495
2014-6	38.2975225	-119.6628357
2015-1	38.28801667	-119.6357229
2015-2	38.298225	-119.628015
2015-3	38.29462	-119.63739
2015-4	38.30753546	-119.6506798
2015-5	38.497261	-119.844375
2015-6	38.18456	-119.58197
2015-7	38.25232433	-119.6283728
2015-8	38.23483	-119.62057
2015-9	38.225245	-119.6278525
2016-1	38.296898	-119.636696
2016-2	38.4744675	-119.754095
2016-3	38.23163333	-119.5526867
2016-4	38.3706	-119.6095
2017-1	38.29848	-119.64889
2017-2	38.29933	-119.64907
2017-3	38.186795	-119.501575
2017-4	38.47532	-119.756215
2017-5	38.20514	-119.61327
2017-6	38.34837	-119.63823
2018-1	37.44077	-118.77364
2018-2	37.43733	-118.77095
2018-3	37.95359	-119.11848
S18-7833	45.878737	-120.819902
S15-1250	46.203639	-119.003944
S13-0649	46.03477163	-118.4510908
S13-0650	46.00085706	-118.3462915
S19-0103	45.945	-119.334
S19-0102	45.94485	-119.33382
S13-2251	45.981003	-118.465533
S13-2252	45.981003	-118.465533
S13-0647	45.9803929	-118.39808
S13-2248	45.953517	-118.417025
S13-2250	45.953517	-118.417025
S13-0648	45.9534372	-118.1485376
S13-2257	45.821531	-119.331481
S13-2256	45.821528	-119.331583
S13-2253	45.795231	-118.771797
S13-2254	45.788347	-119.238272
S12-1449	45.78697377	-119.2350522
S13-2255	45.683564	-119.098531
S12-0806	45.6691433	-118.684018
S12-1225	45.70546	-121.590457
S17-1547	45.44722	-119.69861
S18-2067	44.56367	-121.16351
S11-0430	44.505278	-121.229167
S11-0429	44.505278	-121.229167
S17-2534	44.36166	-121.12743
S17-2535	44.36166	-121.12743
S17-2536	44.36166	-121.12743
S17-2541	44.35685	-121.1223
S18-2048	44.31698	-120.85502
S18-2050	44.31698	-120.85502
S11-0425	44.30553578	-120.7060654
S11-0431	44.293876	-120.876503
S17-2531	44.28767	-121.1824
S17-2532	44.28767	-121.1824
S17-2533	44.28767	-121.1824
S18-2064	44.26844	-121.22036
S15-1566	44.167978	-121.347308
OR19	44.1675265	-121.3487985
S15-1552	44.16015	-121.30389
S16-4635	43.35146	-119.01628
S14-1561	43.12808221	-121.0512019
S18-1175	42.15072	-120.32558
S14-1714	43.98878564	-117.0746983
S14-1713	44.41153278	-118.9910397
S12-0571	45.00095	-117.98096
S12-0573	44.97034	-117.99328
S12-0562	44.89925	-117.99171
S12-0569	44.89925	-117.99171
S13-1169	44.891228	-117.81907
S13-2265	44.873503	-117.611039
S13-2269	44.873503	-117.611039
S13-2270	44.873503	-117.611039
S13-2271	44.873503	-117.611039
S13-2274	44.841672	-117.840672
S13-2276	44.841672	-117.840672
S13-2261	44.839347	-117.881253
S13-2264	44.833111	-117.978369
S13-2263	44.799758	-117.812928
S11-0628	44.77102036	-117.8611135
S11-0627	44.771	-117.86111
S13-2262	44.74805	-117.834336
S12-0443	45.50121667	-118.0157067
S13-2260	45.453936	-118.047814
S12-0438	45.40817692	-118.0659186
S12-0580	45.40435	-118.06467
S12-0559	45.39584208	-118.0710526
S11-0428	45.30813049	-118.0733155
S11-0426	45.30289366	-118.0692626
S11-0427	45.29879192	-118.112308
S13-2259	45.248464	-118.022964
S13-1170	45.58158	-117.53935
S17-2990	45.4964	-117.4398
S12-0575	45.43073	-117.43208
S12-0453	45.419	-117.2625
S12-0584	45.41433	-117.2935
S12-0585	45.41433	-117.2935
S17-2989	45.3883	-117.3359
S12-0578	45.34058	-117.22617
